Republican EVs,Democrat EVs,Outcome,Electoral Margin,Binned Margin,Sample
245,293,Harris Wins,-48,-50,8
266,272,Harris Wins,-6,-10,12
262,276,Harris Wins,-14,-15,12
265,273,Harris Wins,-8,-10,13
260,278,Harris Wins,-18,-20,10
257,281,Harris Wins,-24,-25,4
225,313,Harris Wins,-88,-90,2
222,316,Harris Wins,-94,-95,4
262,276,Harris Wins,-14,-15,13
235,303,Harris Wins,-68,-70,5
260,278,Harris Wins,-18,-20,11
251,287,Harris Wins,-36,-40,8
215,323,Harris Wins,-108,-110,6
264,274,Harris Wins,-10,-10,14
267,271,Harris Wins,-4,-5,15
235,303,Harris Wins,-68,-70,6
212,326,Harris Wins,-114,-115,2
260,278,Harris Wins,-18,-20,12
256,282,Harris Wins,-26,-30,11
256,282,Harris Wins,-26,-30,12
262,276,Harris Wins,-14,-15,14
220,318,Harris Wins,-98,-100,1
246,292,Harris Wins,-46,-50,9
256,282,Harris Wins,-26,-30,13
264,274,Harris Wins,-10,-10,15
249,289,Harris Wins,-40,-40,9
268,270,Harris Wins,-2,-5,16
262,276,Harris Wins,-14,-15,15
246,292,Harris Wins,-46,-50,10
236,302,Harris Wins,-66,-70,7
267,271,Harris Wins,-4,-5,17
201,337,Harris Wins,-136,-140,1
241,297,Harris Wins,-56,-60,10
245,293,Harris Wins,-48,-50,11
263,275,Harris Wins,-12,-15,16
261,277,Harris Wins,-16,-20,13
264,274,Harris Wins,-10,-10,16
246,292,Harris Wins,-46,-50,12
265,273,Harris Wins,-8,-10,17
262,276,Harris Wins,-14,-15,17
265,273,Harris Wins,-8,-10,18
267,271,Harris Wins,-4,-5,18
248,290,Harris Wins,-42,-45,3
249,289,Harris Wins,-40,-40,10
261,277,Harris Wins,-16,-20,14
260,278,Harris Wins,-18,-20,15
249,289,Harris Wins,-40,-40,11
262,276,Harris Wins,-14,-15,18
265,273,Harris Wins,-8,-10,19
264,274,Harris Wins,-10,-10,20
249,289,Harris Wins,-40,-40,12
254,284,Harris Wins,-30,-30,14
257,281,Harris Wins,-24,-25,5
240,298,Harris Wins,-58,-60,11
193,345,Harris Wins,-152,-155,3
256,282,Harris Wins,-26,-30,15
267,271,Harris Wins,-4,-5,19
234,304,Harris Wins,-70,-70,8
263,275,Harris Wins,-12,-15,19
243,295,Harris Wins,-52,-55,2
261,277,Harris Wins,-16,-20,16
261,277,Harris Wins,-16,-20,17
219,319,Harris Wins,-100,-100,2
257,281,Harris Wins,-24,-25,6
235,303,Harris Wins,-68,-70,9
236,302,Harris Wins,-66,-70,10
243,295,Harris Wins,-52,-55,3
238,300,Harris Wins,-62,-65,4
254,284,Harris Wins,-30,-30,16
248,290,Harris Wins,-42,-45,4
238,300,Harris Wins,-62,-65,5
268,270,Harris Wins,-2,-5,20
252,286,Harris Wins,-34,-35,6
228,310,Harris Wins,-82,-85,2
258,280,Harris Wins,-22,-25,7
238,300,Harris Wins,-62,-65,6
258,280,Harris Wins,-22,-25,8
231,307,Harris Wins,-76,-80,3
266,272,Harris Wins,-6,-10,21
258,280,Harris Wins,-22,-25,9
248,290,Harris Wins,-42,-45,5
264,274,Harris Wins,-10,-10,22
236,302,Harris Wins,-66,-70,11
240,298,Harris Wins,-58,-60,12
256,282,Harris Wins,-26,-30,17
253,285,Harris Wins,-32,-35,7
264,274,Harris Wins,-10,-10,23
206,332,Harris Wins,-126,-130,1
240,298,Harris Wins,-58,-60,13
246,292,Harris Wins,-46,-50,13
216,322,Harris Wins,-106,-110,7
232,306,Harris Wins,-74,-75,5
242,296,Harris Wins,-54,-55,4
246,292,Harris Wins,-46,-50,14
251,287,Harris Wins,-36,-40,13
258,280,Harris Wins,-22,-25,10
260,278,Harris Wins,-18,-20,18
252,286,Harris Wins,-34,-35,8
246,292,Harris Wins,-46,-50,15
256,282,Harris Wins,-26,-30,18
221,317,Harris Wins,-96,-100,3
244,294,Harris Wins,-50,-50,16
248,290,Harris Wins,-42,-45,6
241,297,Harris Wins,-56,-60,14
259,279,Harris Wins,-20,-20,19
222,316,Harris Wins,-94,-95,5
261,277,Harris Wins,-16,-20,20
251,287,Harris Wins,-36,-40,14
265,273,Harris Wins,-8,-10,24
243,295,Harris Wins,-52,-55,5
265,273,Harris Wins,-8,-10,25
261,277,Harris Wins,-16,-20,21
256,282,Harris Wins,-26,-30,19
235,303,Harris Wins,-68,-70,12
254,284,Harris Wins,-30,-30,20
245,293,Harris Wins,-48,-50,17
262,276,Harris Wins,-14,-15,20
250,288,Harris Wins,-38,-40,15
225,313,Harris Wins,-88,-90,3
192,346,Harris Wins,-154,-155,4
252,286,Harris Wins,-34,-35,9
235,303,Harris Wins,-68,-70,13
249,289,Harris Wins,-40,-40,16
226,312,Harris Wins,-86,-90,4
257,281,Harris Wins,-24,-25,11
248,290,Harris Wins,-42,-45,7
235,303,Harris Wins,-68,-70,14
241,297,Harris Wins,-56,-60,15
238,300,Harris Wins,-62,-65,7
262,276,Harris Wins,-14,-15,21
246,292,Harris Wins,-46,-50,18
267,271,Harris Wins,-4,-5,21
251,287,Harris Wins,-36,-40,17
265,273,Harris Wins,-8,-10,26
257,281,Harris Wins,-24,-25,12
243,295,Harris Wins,-52,-55,6
217,321,Harris Wins,-104,-105,1
264,274,Harris Wins,-10,-10,27
254,284,Harris Wins,-30,-30,21
256,282,Harris Wins,-26,-30,22
262,276,Harris Wins,-14,-15,22
254,284,Harris Wins,-30,-30,23
216,322,Harris Wins,-106,-110,8
265,273,Harris Wins,-8,-10,28
219,319,Harris Wins,-100,-100,4
262,276,Harris Wins,-14,-15,23
241,297,Harris Wins,-56,-60,16
224,314,Harris Wins,-90,-90,5
262,276,Harris Wins,-14,-15,24
221,317,Harris Wins,-96,-100,5
216,322,Harris Wins,-106,-110,9
259,279,Harris Wins,-20,-20,22
261,277,Harris Wins,-16,-20,23
226,312,Harris Wins,-86,-90,6
221,317,Harris Wins,-96,-100,6
241,297,Harris Wins,-56,-60,17
251,287,Harris Wins,-36,-40,18
244,294,Harris Wins,-50,-50,19
202,336,Harris Wins,-134,-135,1
260,278,Harris Wins,-18,-20,24
262,276,Harris Wins,-14,-15,25
262,276,Harris Wins,-14,-15,26
246,292,Harris Wins,-46,-50,20
246,292,Harris Wins,-46,-50,21
253,285,Harris Wins,-32,-35,10
242,296,Harris Wins,-54,-55,7
247,291,Harris Wins,-44,-45,8
267,271,Harris Wins,-4,-5,22
254,284,Harris Wins,-30,-30,24
235,303,Harris Wins,-68,-70,15
267,271,Harris Wins,-4,-5,23
256,282,Harris Wins,-26,-30,25
240,298,Harris Wins,-58,-60,18
268,270,Harris Wins,-2,-5,24
260,278,Harris Wins,-18,-20,25
264,274,Harris Wins,-10,-10,29
235,303,Harris Wins,-68,-70,16
262,276,Harris Wins,-14,-15,27
185,353,Harris Wins,-168,-170,1
256,282,Harris Wins,-26,-30,26
242,296,Harris Wins,-54,-55,8
258,280,Harris Wins,-22,-25,13
219,319,Harris Wins,-100,-100,7
256,282,Harris Wins,-26,-30,27
252,286,Harris Wins,-34,-35,11
252,286,Harris Wins,-34,-35,12
264,274,Harris Wins,-10,-10,30
244,294,Harris Wins,-50,-50,22
224,314,Harris Wins,-90,-90,7
255,283,Harris Wins,-28,-30,28
206,332,Harris Wins,-126,-130,2
249,289,Harris Wins,-40,-40,19
219,319,Harris Wins,-100,-100,8
262,276,Harris Wins,-14,-15,28
262,276,Harris Wins,-14,-15,29
269,269,No Winner,0,0,1
269,269,No Winner,0,0,2
269,269,No Winner,0,0,3
269,269,No Winner,0,0,4
269,269,No Winner,0,0,5
269,269,No Winner,0,0,6
269,269,No Winner,0,0,7
