X.1,Safe Harris,Likely Harris,Leaning Harris,Tilt Harris,Safe Trump,Likely Trump,Leaning Trump,Tilt Trump,Tossup
Harris,181.0,35.0,10.0,,,,,,
Trump,,,,,125.0,94.0,43.0,6.0,
Tossup,,,,,,,,,44.0
